,State,Overall Rank,Higher Education,K-12,Gross collections[1] (thousands of dollars),Overall Rank (1=Lowest),Effective Total State & Local Tax Rates on Median U.S. Household*,Annual State & Local Taxes on Median U.S. Household*,% Difference Between State & U.S. Avg.**,Adjusted Overall Rank (based on Cost of Living Index),Quality of Life Rank,Healthcare Rank,Education Rank,Economy Rank,Rank,GDP in the 3rd quarter of 2020[note 1],% of Nation,GDP per capita,Region,10yr. population change,2018 unemployment,Poverty Rate,Life expectancy at birth,Cost Index
0,Massachusetts,1,27,1,120035203,26,10.87,6590,0.91,42,8,2,1,7,12,590307,2.8,85631,Northeast,4.7,3.3,10.0,80.4,131.6
1,New Jersey,2,30,2,140258435,40,12.62,7650,17.15,48,12,6,2,31,10,625659,3.0,70438,Northeast,2.3,4.1,9.5,80.5,125.1
2,Florida,3,1,27,210024433,6,8.31,5037,-22.86,8,13,29,3,9,4,1111614,5.3,51147,South,14.9,3.6,13.6,80.0,97.9
3,Washington,4,2,19,100609767,37,12.06,7307,11.88,44,1,4,4,3,8,632013,3.0,82147,West,13.1,4.5,10.3,80.3,110.7
4,New Hampshire,5,37,3,12208656,19,10.02,6070,-7.05,32,2,16,5,13,41,86319,0.4,63178,Northeast,2.4,2.5,7.6,79.5,109.7
5,Nebraska,6,7,9,25551082,46,13.32,8075,23.65,37,9,27,6,21,36,129761,0.6,66971,Midwest,7.4,2.8,11.0,79.5,90.8
6,Virginia,7,14,8,83574427,25,10.73,6505,-0.39,27,7,18,7,25,13,557986,2.6,64953,South,8.1,3.0,10.7,79.4,100.7
7,Vermont,8,41,4,4505097,33,11.44,6932,6.14,40,5,11,8,29,52,33278,0.2,53382,Northeast,0.7,2.7,11.0,79.7,114.5
8,Iowa,9,8,13,24914602,43,13.08,7929,21.41,33,14,20,9,32,30,195353,0.9,61560,Midwest,4.9,2.5,11.2,79.5,90.1
9,Utah,10,6,22,24335082,7,8.37,5069,-22.37,9,4,9,10,2,29,198630,0.9,61119,West,13.5,3.1,9.0,79.8,98.4
10,Colorado,11,9,14,59961429,9,8.58,5201,-20.36,13,10,12,11,1,16,394271,2.0,67887,West,13.4,3.3,9.6,80.5,105.6
11,Connecticut,12,44,5,57092781,50,14.64,8869,35.81,50,21,3,12,30,23,283601,1.3,79730,Northeast,1.5,4.1,10.4,80.8,127.7
12,Maryland,13,17,11,78473276,32,11.44,6931,6.14,46,6,8,13,26,15,427616,2.0,70612,Northeast,6.0,3.9,9.0,79.2,129.7
13,Wisconsin,14,11,16,52872510,45,13.29,8055,23.35,38,11,14,14,24,21,344500,1.6,59064,Midwest,2.8,3.0,11.0,79.5,97.3
14,Kansas,15,13,15,26337911,47,13.40,8121,24.36,36,22,33,15,36,33,175465,0.8,60218,Midwest,3.3,3.4,12.0,78.6,89.0
15,Wyoming,16,3,34,4743997,5,8.05,4877,-25.32,6,31,42,16,42,51,36000,0.2,61814,West,6.1,4.1,11.1,79.0,89.3
16,Minnesota,17,20,12,102642589,29,11.27,6828,4.56,29,3,10,17,18,17,379388,1.8,67071,Midwest,6.6,2.9,9.6,80.9,101.6
17,South Dakota,18,10,23,8029363,27,11.11,6730,3.06,25,20,32,18,27,47,55243,0.3,61881,Midwest,8.6,3.0,13.1,79.0,99.8
18,Illinois,19,31,7,162274617,51,14.96,9064,38.79,49,35,22,19,41,5,875671,4.1,69566,Midwest,1.3,4.3,12.1,79.3,94.5
19,North Dakota,20,5,35,6639943,18,9.99,6055,-7.28,19,15,38,20,35,48,54044,0.3,70613,Midwest,17.5,2.6,10.7,79.8,98.8
20,California,21,4,37,472027235,11,8.94,5416,-17.07,35,19,7,21,4,1,3120386,14.7,79261,West,7.0,4.2,12.8,81.5,151.7
21,New York,22,15,25,304992923,49,13.92,8434,29.15,51,25,13,22,33,3,1705127,8.1,88180,Northeast,0.0,4.1,13.6,81.2,139.1
22,Delaware,23,16,24,20073979,2,6.19,3750,-42.57,1,23,15,23,17,44,76468,0.4,77490,Northeast,9.3,3.8,12.5,78.6,108.1
23,Indiana,24,39,6,60627045,34,11.75,7120,9.03,26,36,40,24,28,18,379293,1.8,56149,Midwest,4.2,3.4,13.1,77.1,90.0
24,North Carolina,25,12,28,87778099,23,10.62,6435,-1.47,16,18,30,25,14,11,594126,2.8,56045,South,10.7,3.9,14.0,78.0,94.9
25,Montana,26,19,20,6356727,3,7.08,4290,-34.32,2,29,28,26,22,49,51934,0.2,48061,West,9.0,3.7,13.0,78.5,106.9
26,Missouri,27,26,21,64149074,28,11.18,6774,3.72,18,28,41,27,23,22,325841,1.6,52968,Midwest,2.3,3.2,13.2,77.4,87.1
27,Maine,28,34,17,8130883,35,11.79,7144,9.39,39,32,19,28,37,45,67129,0.3,49719,Northeast,1.5,3.4,11.6,78.6,117.5
28,Hawaii,29,21,30,9246293,24,10.62,6437,-1.44,43,24,1,29,40,40,89866,0.5,63870,West,9.7,2.4,8.8,82.2,192.9
29,Georgia,30,25,31,94305868,21,10.46,6339,-2.94,14,17,39,30,11,9,627667,3.0,58605,South,7.0,3.9,14.3,77.7,89.2
30,Ohio,31,38,18,144704811,44,13.14,7962,21.92,31,39,35,31,38,7,683460,3.2,58449,Midwest,1.3,4.6,13.9,77.0,90.8
31,Pennsylvania,32,50,10,141973579,48,13.90,8421,28.95,45,41,21,32,44,6,788500,3.7,61682,Northeast,1.6,4.3,12.2,78.3,101.7
32,Idaho,33,35,26,11343181,8,8.50,5151,-21.12,4,16,26,33,6,42,85552,0.4,46828,West,13.5,2.8,11.8,79.4,92.3
33,Texas,34,32,33,292330171,41,12.71,7705,17.99,34,38,37,34,15,2,1772132,8.4,60357,South,15.8,3.9,14.9,79.0,91.5
34,Tennessee,35,23,38,69769299,10,8.73,5290,-19.00,5,30,43,35,12,20,369063,1.7,53589,South,7.5,3.5,15.3,76.1,88.7
35,Oregon,36,22,39,35041125,14,9.05,5484,-16.03,20,27,17,36,5,24,253849,1.2,59848,West,9.5,4.2,12.6,79.6,134.2
36,Michigan,37,42,29,81583480,38,12.29,7450,14.08,28,33,24,37,19,14,524828,2.5,52658,Midwest,0.3,4.1,14.1,78.1,88.9
37,Kentucky,38,43,32,35595050,39,12.46,7553,15.65,30,40,44,38,39,28,213169,1.0,47611,South,3.6,4.3,16.9,75.4,90.9
38,Oklahoma,39,28,43,29133375,31,11.40,6906,5.75,23,43,47,39,34,31,186883,0.9,46886,South,6.9,3.4,15.6,75.9,87.0
39,Arizona,40,24,44,47743166,16,9.59,5810,-11.03,17,34,23,40,10,19,378297,1.8,50973,West,8.7,4.8,14.0,79.9,97.0
40,Rhode Island,41,48,36,14325645,42,12.89,7814,19.66,47,26,5,41,20,46,61081,0.3,57780,Northeast,0.4,4.1,12.9,79.8,119.4
41,Arkansas,42,40,40,30572215,30,11.28,6836,4.67,15,45,49,42,43,35,130709,0.6,43130,South,4.3,3.7,17.2,75.8,86.9
42,South Carolina,43,46,41,27885047,13,9.02,5466,-16.30,11,42,36,43,16,25,245473,1.2,47043,South,11.5,3.4,15.3,77.0,95.9
43,West Virginia,44,45,42,7039939,17,9.70,5878,-9.99,12,47,48,44,50,43,74511,0.3,41747,South,0.8,5.3,17.8,75.0,91.1
44,Nevada,45,18,48,23769524,4,8.04,4875,-25.36,10,37,31,45,8,32,175509,0.8,55925,West,14.8,4.6,12.9,78.4,108.5
45,Mississippi,46,33,45,11273202,36,11.99,7268,11.29,24,48,50,46,48,37,115900,0.5,39065,South,1.2,4.8,19.7,74.8,86.1
46,Alaska,47,36,47,5395473,1,5.73,3473,-46.82,3,44,25,47,46,50,50413,0.2,68949,West,5.6,6.6,10.9,78.5,129.9
47,Louisiana,48,49,46,39430322,22,10.56,6399,-2.02,21,50,45,48,49,26,244577,1.2,52649,South,3.7,4.9,18.6,76.1,93.9
48,New Mexico,49,29,50,9270398,20,10.46,6336,-2.98,22,46,34,49,47,38,100777,0.5,47845,West,4.3,4.9,19.5,78.2,87.5
49,Alabama,50,47,49,26511031,15,9.10,5518,-15.51,7,49,46,50,45,27,228062,1.1,46339,South,3.8,3.9,16.8,75.4,89.3
